timestamp,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2020-01-01 00:00:00,,,
2020-01-01 01:00:00,,,
2020-01-01 02:00:00,,,
2020-01-01 03:00:00,,,
2020-01-01 04:00:00,,,
2020-01-01 05:00:00,,,
2020-01-01 06:00:00,,,
2020-01-01 07:00:00,,,
2020-01-01 08:00:00,,,
2020-01-01 09:00:00,,,
2020-01-01 10:00:00,,,
2020-01-01 11:00:00,,,
2020-01-01 12:00:00,,,
2020-01-01 13:00:00,,,
2020-01-01 14:00:00,,,
2020-01-01 15:00:00,,,
2020-01-01 16:00:00,,,
2020-01-01 17:00:00,,,
2020-01-01 18:00:00,,,
2020-01-01 19:00:00,,,
2020-01-01 20:00:00,,,
2020-01-01 21:00:00,,,
2020-01-01 22:00:00,,,
2020-01-01 23:00:00,,,
2020-01-02 00:00:00,,,
2020-01-02 01:00:00,-1.5322695324230153,,
2020-01-02 02:00:00,-5.026125940101338,,
2020-01-02 03:00:00,-10.838849610618126,,
2020-01-02 04:00:00,-14.306609185972775,,
2020-01-02 05:00:00,-17.173183107564,,
2020-01-02 06:00:00,-19.49778452069131,,
2020-01-02 07:00:00,-23.04648608914431,,
2020-01-02 08:00:00,-22.29351454204516,,
2020-01-02 09:00:00,-20.583995357942513,-5.661904481664452,-14.92209087627806
2020-01-02 10:00:00,-19.137688357769548,-3.372477985193189,-15.765210372576359
2020-01-02 11:00:00,-19.50713229372832,-2.9935375369215684,-16.51359475680675
2020-01-02 12:00:00,-18.071373186076016,-1.2462227434154123,-16.825150442660604
2020-01-02 13:00:00,-18.961403820409032,-1.7090027021987417,-17.25240111821029
2020-01-02 14:00:00,-19.14269387499735,-1.512234205429646,-17.630459669567703
2020-01-02 15:00:00,-19.445497263918696,-1.452030075480792,-17.993467188437904
2020-01-02 16:00:00,-25.574867471606012,-6.065120226534486,-19.509747245071527
2020-01-02 17:00:00,-36.686768717267114,-13.741617177756467,-22.945151539510647
2020-01-02 18:00:00,-44.736072898713246,-17.432737087362078,-27.303335811351168
2020-01-02 19:00:00,-49.76768075712607,-17.971475956619923,-31.79620480050615
2020-01-02 20:00:00,-55.89400964041761,-19.278243871929163,-36.615765768488444
2020-01-02 21:00:00,-57.7793783137613,-16.930890036218287,-40.84848827754301
2020-01-02 22:00:00,-58.848548889016456,-14.40004848917875,-44.448500399837705
2020-01-02 23:00:00,-59.67928311305877,-12.184626170576848,-47.494656942481924
2020-01-03 00:00:00,-61.86530812490855,-11.496520945941299,-50.36878717896725
2020-01-03 01:00:00,-66.82409913846732,-13.164249567600045,-53.65984957086727
2020-01-03 02:00:00,-64.53592572586058,-8.700860923994647,-55.83506480186593
2020-01-03 03:00:00,-62.42495310087361,-5.271910639206141,-57.15304246166747
2020-01-03 04:00:00,-39.55664174966296,14.077120569603608,-53.633762319266566
2020-01-03 05:00:00,-20.294042921795153,26.67177551797713,-46.965818439772285
2020-01-03 06:00:00,-6.453955031906844,32.409490726292354,-38.8634457581992
2020-01-03 07:00:00,4.54433553745821,34.72622503652593,-30.18188949906772
2020-01-03 08:00:00,17.894171903342794,38.46084912192841,-20.566677218585617
2020-01-03 09:00:00,35.10165997458171,44.53466975453386,-9.433009779952153
2020-01-03 10:00:00,45.37930265176783,43.849849945375986,1.5294527063918437
2020-01-03 11:00:00,55.15683691279082,42.901907365119186,12.25492954767164
2020-01-03 12:00:00,60.869300086950716,38.89149643142326,21.977803655527456
2020-01-03 13:00:00,66.6056253648594,35.70225736746556,30.903367997393847
2020-01-03 14:00:00,62.892539752226185,25.59133740386587,37.30120234836031
2020-01-03 15:00:00,64.31707336338513,21.612696812019855,42.70437655136528
2020-01-03 16:00:00,70.04413447339994,21.871806337627717,48.17232813577222
2020-01-03 17:00:00,71.33178480776041,18.527565337590552,52.80421947016986
2020-01-03 18:00:00,70.5321742741935,14.182363843218909,56.349810430974586
2020-01-03 19:00:00,68.98065976186444,10.104679464711886,58.87598029715256
2020-01-03 20:00:00,65.07641722642802,4.960349543420364,60.11606768300766
2020-01-03 21:00:00,58.262136980984906,-1.4831445616182037,59.74528154260311
2020-01-03 22:00:00,53.8157107262241,-4.743656653103216,58.55936737932731
2020-01-03 23:00:00,53.30371624484451,-4.204520907586243,57.50823715243075
2020-01-04 00:00:00,49.19598591048998,-6.649800993552624,55.845786904042605
2020-01-04 01:00:00,45.60450503986522,-8.193025491341913,53.79753053120713
2020-01-04 02:00:00,43.77944732026026,-8.014466568757499,51.79391388901776
2020-01-04 03:00:00,42.26227164455577,-7.625313795569596,49.88758544012536
2020-01-04 04:00:00,40.67095427305321,-7.373304933657728,48.04425920671094
2020-01-04 05:00:00,39.81586568543207,-6.582714817023096,46.39858050245517
2020-01-04 06:00:00,39.52978926281776,-5.495032991709934,45.02482225452769
2020-01-04 07:00:00,38.26725315663407,-5.406055278314895,43.673308434948964
2020-01-04 08:00:00,36.75185018846605,-5.537166597186335,42.289016785652386
2020-01-04 09:00:00,36.56010313148636,-4.583130923332831,41.14323405481919
2020-01-04 10:00:00,32.31733716796589,-7.060717509482643,39.37805467744853
2020-01-04 11:00:00,30.094345747339503,-7.426967144087229,37.52131289142673
2020-01-04 12:00:00,26.158220323802198,-9.09047405409963,35.24869437790183
2020-01-04 13:00:00,21.98811384867986,-10.608464423377576,32.596578272057435
2020-01-04 14:00:00,19.50580121035091,-10.472621649365223,29.978422859716133
2020-01-04 15:00:00,17.537313516954782,-9.952887474209081,27.490200991163864
2020-01-04 16:00:00,14.894568873788558,-10.076505693900245,24.971074567688802
