timestamp,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2020-01-01 00:00:00,,,,,
2020-01-01 01:00:00,,,,,
2020-01-01 02:00:00,,,,,
2020-01-01 03:00:00,,,,,
2020-01-01 04:00:00,,,,,
2020-01-01 05:00:00,,,,,
2020-01-01 06:00:00,,,,,
2020-01-01 07:00:00,,,,,
2020-01-01 08:00:00,,,,,
2020-01-01 09:00:00,,,,,
2020-01-01 10:00:00,,,,,
2020-01-01 11:00:00,,,,,
2020-01-01 12:00:00,,,,,
2020-01-01 13:00:00,,,,,
2020-01-01 14:00:00,,,,,
2020-01-01 15:00:00,,,,,
2020-01-01 16:00:00,,,,,
2020-01-01 17:00:00,,,,,
2020-01-01 18:00:00,,,,,
2020-01-01 19:00:00,7177.968300221204,7214.6765,7251.384699778795,1.0175979416068195,0.6590039837195176
2020-01-01 20:00:00,7186.034687747764,7217.764,7249.493312252236,0.8792006015224664,0.744820938388055
2020-01-01 21:00:00,7186.797279039589,7218.7375,7250.6777209604115,0.8849254031030038,0.6717661880548641
2020-01-01 22:00:00,7184.33680219973,7216.5885,7248.840197800269,0.8938211677240442,0.16546722387093554
2020-01-01 23:00:00,7182.1942836855505,7215.3845,7248.57471631445,0.9199846886731974,0.23163025164971957
2020-01-02 00:00:00,7181.77610687086,7215.106,7248.43589312914,0.9238919879802222,0.3977494471165794
2020-01-02 01:00:00,7178.389681320283,7213.526999999999,7248.6643186797155,0.9742063398311638,0.14714154449249325
2020-01-02 02:00:00,7170.369808643955,7210.805,7251.240191356045,1.1215167060000908,-0.04711006076870479
2020-01-02 03:00:00,7152.472933783923,7206.9065,7261.3400662160775,1.5105944892188472,-0.23131805919124793
2020-01-02 04:00:00,7142.330043954614,7204.1125,7265.894956045387,1.7151996459074292,-0.024036305326161203
2020-01-02 05:00:00,7133.405778715783,7201.662000000001,7269.91822128422,1.895568586368495,0.014901361706990019
2020-01-02 06:00:00,7123.680012454915,7198.399500000001,7273.118987545087,2.0760027988189855,0.055674816694000234
2020-01-02 07:00:00,7109.561607185568,7194.1449999999995,7278.728392814431,2.351450876078565,-0.011832152382201961
2020-01-02 08:00:00,7104.649678444368,7190.536999999999,7276.424321555631,2.3888986749009535,0.2556274940253586
2020-01-02 09:00:00,7101.626642600924,7187.730500000001,7273.834357399077,2.3958565891995067,0.33554453391826483
2020-01-02 10:00:00,7098.821031665894,7184.781,7270.740968334106,2.3928347526279707,0.3431188347163545
2020-01-02 11:00:00,7094.248672173221,7180.1185,7265.988327826778,2.3918777336830424,0.2445057180706473
2020-01-02 12:00:00,7094.168297988507,7175.777,7257.385702011493,2.2745607064292224,0.37319366997722014
2020-01-02 13:00:00,7090.798110011246,7170.4490000000005,7250.099889988755,2.221643023714551,0.22876009291232663
2020-01-02 14:00:00,7090.00035441611,7165.1255,7240.25064558389,2.0969666360733004,0.2728756481284078
2020-01-02 15:00:00,7088.73310322017,7160.1205,7231.50789677983,1.9940278038569306,0.26276974978887385
2020-01-02 16:00:00,7072.640364514994,7150.936,7229.231635485005,2.189801041010736,-0.1470731054951639
2020-01-02 17:00:00,7033.031715693884,7137.7935,7242.555284306116,2.935410902714296,-0.3158199153067533
2020-01-02 18:00:00,7002.220096855413,7126.535500000001,7250.850903144588,3.4888033082719483,-0.1301934275102032
2020-01-02 19:00:00,6980.363521491989,7115.629000000001,7250.894478508013,3.8019261124494306,-0.0034137368313613982
2020-01-02 20:00:00,6955.1109832271195,7102.4619999999995,7249.81301677288,4.149294055297446,-0.03447883648736999
2020-01-02 21:00:00,6939.75679812657,7091.700500000001,7243.6442018734315,4.285113334197648,0.11103850129154404
2020-01-02 22:00:00,6925.283161158545,7081.8904999999995,7238.497838841454,4.422755162380844,0.14391675120375175
2020-01-02 23:00:00,6910.185690593891,7073.628,7237.070309406108,4.621173446104559,0.158631842619359
2020-01-03 00:00:00,6892.163801994886,7063.3735,7234.583198005113,4.847816641867055,0.12296674340216654
2020-01-03 01:00:00,6866.372987854768,7050.8385,7235.304012145231,5.232441847738578,0.04978440666668067
2020-01-03 02:00:00,6856.613300169056,7041.8674999999985,7227.121699830941,5.261507684742508,0.2590135606062382
2020-01-03 03:00:00,6846.811399239108,7033.856999999999,7220.90260076089,5.318436265078774,0.2687542512411596
2020-01-03 04:00:00,6841.356716308083,7036.647499999999,7231.938283691915,5.550676900950794,0.9294173458400223
2020-01-03 05:00:00,6835.748656137761,7039.4565,7243.16434386224,5.7876014678758025,0.9323188951897037
2020-01-03 06:00:00,6832.504516888127,7041.416,7250.327483111873,5.933791814370097,0.8723682338626734
2020-01-03 07:00:00,6828.374288484948,7044.505,7260.635711515052,6.13615041837722,0.8551438824308618
2020-01-03 08:00:00,6818.832421726927,7049.651,7280.469578273072,6.548368941187939,0.9513263220812117
2020-01-03 09:00:00,6797.749449767311,7060.5464999999995,7323.343550232688,7.4440994116443795,1.0414891448515178
2020-01-03 10:00:00,6786.3100769303155,7069.496499999999,7352.682923069683,8.011501896059608,0.924638118934148
2020-01-03 11:00:00,6774.259229851667,7080.0895,7385.919770148333,8.639163958261618,0.9218361051619507
2020-01-03 12:00:00,6770.779931003853,7093.6875,7416.595068996147,9.104082157443427,0.8528602638650421
2020-01-03 13:00:00,6777.456057698277,7112.647999999999,7447.839942301722,9.425236348030229,0.8481915442195893
2020-01-03 14:00:00,6793.026727641463,7126.7905,7460.554272358537,9.366453871726316,0.6886206808939481
