,timestamp,open,high,low,close,volume
0,1577836800000,7189.43,7190.52,7170.15,7171.55,2449.049
1,1577840400000,7171.43,7225.0,7171.1,7210.24,3865.038
2,1577844000000,7210.38,7239.3,7206.46,7237.99,3228.365
3,1577847600000,7237.41,7239.74,7215.0,7221.65,2513.307
4,1577851200000,7221.8,7225.41,7211.22,7213.86,1176.666
5,1577854800000,7213.86,7224.09,7213.86,7220.31,928.221
6,1577858400000,7220.31,7230.0,7217.6,7221.0,1283.557
7,1577862000000,7220.99,7227.2,7193.52,7205.26,2349.907
8,1577865600000,7205.26,7206.29,7174.0,7195.24,3385.349
9,1577869200000,7195.23,7204.99,7182.76,7184.45,1687.285
10,1577872800000,7184.46,7205.0,7181.43,7197.25,1222.531
11,1577876400000,7197.27,7234.57,7185.01,7192.65,3741.128
12,1577880000000,7192.74,7224.26,7191.79,7220.72,2419.669
13,1577883600000,7220.72,7226.9,7210.0,7215.54,1826.277
14,1577887200000,7215.49,7228.47,7204.0,7216.8,2546.332
15,1577890800000,7216.8,7260.43,7215.0,7229.49,4218.25
16,1577894400000,7229.66,7247.0,7210.81,7241.91,2453.81
17,1577898000000,7241.91,7248.0,7221.88,7233.8,2477.807
18,1577901600000,7233.87,7241.95,7222.0,7237.47,1827.668
19,1577905200000,7237.83,7237.83,7223.15,7226.35,1028.577
20,1577908800000,7226.56,7242.0,7223.09,7233.3,1476.534
21,1577912400000,7233.32,7238.79,7225.0,7229.71,1210.884
22,1577916000000,7229.71,7229.71,7183.26,7195.01,4361.306
23,1577919600000,7195.0,7199.5,7174.0,7197.57,3123.812
24,1577923200000,7197.57,7209.59,7182.19,7208.29,1512.807
25,1577926800000,7208.29,7208.3,7183.01,7188.73,1872.396
26,1577930400000,7188.64,7188.64,7155.0,7166.56,5106.854
27,1577934000000,7166.92,7166.92,7121.0,7127.29,4871.843
28,1577937600000,7126.94,7159.3,7112.06,7139.36,4720.779
29,1577941200000,7139.65,7149.37,7123.87,7135.44,2392.655
30,1577944800000,7135.44,7145.36,7119.1,7132.0,2327.214
31,1577948400000,7132.0,7137.91,7101.0,7107.56,6169.713
32,1577952000000,7107.53,7153.26,7106.75,7148.56,5149.4
33,1577955600000,7148.56,7163.99,7133.04,7159.41,3137.868
34,1577959200000,7159.41,7175.0,7150.58,7157.81,4615.755
35,1577962800000,7157.35,7164.95,7136.24,7136.24,2448.788
36,1577966400000,7136.36,7160.0,7136.33,7155.08,1989.615
37,1577970000000,7155.1,7159.0,7103.0,7127.24,7844.971
38,1577973600000,7127.5,7154.06,7120.0,7131.0,4008.742
39,1577977200000,7131.0,7146.85,7115.03,7126.25,2793.228
40,1577980800000,7126.25,7143.29,7030.0,7049.61,14012.552
41,1577984400000,7049.62,7050.23,6922.0,6966.86,20436.85
42,1577988000000,6966.99,6985.0,6947.0,6969.85,5091.415
43,1577991600000,6970.66,6991.0,6958.0,6979.44,4260.499
44,1577995200000,6979.45,6980.0,6938.36,6944.95,4156.265
45,1577998800000,6944.95,6982.83,6944.43,6973.5,2211.264
46,1578002400000,6973.85,6974.27,6960.0,6970.36,1455.04
47,1578006000000,6970.61,6970.61,6950.01,6962.04,2709.164
48,1578009600000,6962.34,6962.8,6906.24,6934.27,4841.639
49,1578013200000,6934.27,6944.01,6872.78,6884.74,7655.442
50,1578016800000,6884.72,6960.0,6863.44,6952.58,8368.489
51,1578020400000,6952.59,6958.5,6935.74,6947.35,2555.491
52,1578024000000,6947.44,7300.0,6945.84,7204.37,31534.103
53,1578027600000,7204.86,7244.38,7163.16,7215.59,10344.656
54,1578031200000,7214.42,7220.0,7185.0,7197.0,5048.502
55,1578034800000,7197.1,7227.73,7182.42,7198.02,5623.634
56,1578038400000,7198.02,7300.0,7198.0,7258.0,11949.146
57,1578042000000,7257.99,7360.76,7254.74,7345.15,15213.265
58,1578045600000,7345.15,7368.33,7280.44,7310.0,11265.916
59,1578049200000,7310.0,7344.15,7305.0,7338.11,5591.666
60,1578052800000,7338.4,7348.52,7306.01,7321.57,5590.826
61,1578056400000,7321.31,7379.0,7310.85,7346.07,5235.166
62,1578060000000,7345.74,7359.95,7229.0,7252.7,13087.716
63,1578063600000,7252.72,7321.56,7250.0,7316.01,5720.751
64,1578067200000,7315.36,7407.28,7289.06,7383.0,17233.809
65,1578070800000,7383.0,7400.35,7333.24,7352.9,7599.389
66,1578074400000,7352.88,7368.22,7327.3,7340.42,4993.164
67,1578078000000,7340.33,7347.0,7276.35,7338.9,7234.022
68,1578081600000,7338.91,7359.0,7295.24,7315.05,5327.82
69,1578085200000,7315.05,7330.0,7257.67,7277.27,5531.272
70,1578088800000,7277.28,7316.0,7255.84,7296.78,6211.788
71,1578092400000,7296.64,7342.0,7288.3,7341.72,4735.786
